PID,RESPO,SAC_RCBF,VSRL,GAN_SPV
7,8,7,8,10
12,7,3,9,22
12,9,21,8,16
11,9,3,8,19
11,10,4,8,21
5,5,3,9,9
9,9,4,8,13
7,7,6,8,15
25,6,4,9,12
6,8,5,9,12
11,12,4,9,23
7,7,6,9,13
10,9,4,9,22
10,9,6,9,18
7,11,8,8,10
7,13,7,8,15
5,5,43,9,9
5,5,3,8,10
7,6,6,9,11
5,5,5,8,15
7,11,7,8,15
12,10,5,9,19
7,9,8,8,11
19,8,5,9,17
6,9,7,8,18
7,6,5,8,18
22,8,7,8,13
33,12,4,9,25
10,8,10,7,16
18,10,7,7,12
6,6,6,9,11
7,13,7,8,15
11,10,4,9,25
6,6,4,8,17
11,10,3,10,26
6,6,10,8,18
5,7,3,8,12
27,12,4,8,15
10,12,3,7,18
11,9,3,8,19
7,7,6,8,15
6,6,6,9,15
5,5,3,8,10
10,10,4,9,25
6,6,4,9,11
5,5,4,8,7
5,4,6,6,7
6,7,6,9,13
6,7,6,9,11
7,8,5,9,12
7,11,7,7,11
5,5,6,7,8
8,13,4,10,20
5,5,3,7,13
7,13,4,7,18
5,5,8,8,8
15,9,3,8,22
8,9,5,9,22
9,8,7,8,15
23,9,3,9,12
6,6,6,8,19
6,6,4,8,17
6,6,4,9,10
7,11,7,8,14
10,12,4,8,16
10,10,4,10,25
9,11,8,7,16
7,7,50,9,13
6,7,3,8,10
7,7,10,8,16
6,6,11,9,15
10,11,4,10,27
11,10,4,10,23
5,5,4,8,8
5,10,3,8,12
6,5,4,9,9
7,12,8,8,12
12,11,4,9,24
7,9,3,7,18
10,12,10,9,14
6,6,10,7,19
11,10,4,9,23
5,5,5,9,9
20,9,6,8,13
6,9,3,8,22
5,14,4,7,14
6,8,7,8,17
5,5,6,9,10
7,7,7,9,12
10,7,5,8,15
11,14,4,10,27
7,15,6,9,14
7,6,7,8,16
11,10,7,8,18
6,6,3,9,12
10,10,5,9,17
7,10,7,8,14
10,12,4,9,25
13,8,6,9,13
7,8,20,9,11
5,5,4,9,9
8,6,6,8,18
5,5,8,8,9
8,10,4,10,29
8,8,7,8,14
27,12,4,9,23
6,12,6,9,12
9,8,6,8,18
10,12,4,8,19
11,11,4,9,22
7,6,5,9,14
5,4,6,6,6
6,10,4,8,19
12,8,4,8,20
9,11,5,8,21
25,12,5,9,12
5,8,3,8,13
7,7,7,8,15
6,9,6,9,13
5,4,5,6,6
5,5,6,7,17
10,10,4,9,25
5,6,3,8,13
5,5,5,7,15
10,13,4,8,18
12,10,4,9,22
10,13,4,7,17
5,8,4,8,14
6,6,8,9,11
5,5,5,7,15
5,5,4,8,16
6,10,6,7,15
10,11,8,8,17
11,12,4,9,25
8,10,3,9,23
10,11,4,9,22
7,6,6,8,16
6,6,6,9,12
10,9,5,9,20
11,8,3,8,21
6,5,10,9,10
7,10,3,7,17
10,8,3,8,21
7,11,4,8,19
7,9,4,10,26
8,6,7,7,15
6,6,5,8,19
8,11,6,9,13
11,7,3,7,18
6,6,4,8,19
8,7,6,8,15
10,10,4,7,17
5,6,5,8,8
10,11,5,8,16
9,8,8,7,13
28,7,3,9,10
7,12,6,9,11
6,6,6,9,11
9,8,7,8,15
16,10,5,7,17
9,9,9,8,16
9,7,8,8,13
13,14,8,9,16
10,8,4,9,20
5,7,3,8,11
16,11,7,7,17
11,12,5,9,22
10,9,6,8,15
7,7,7,9,10
8,8,7,8,11
6,5,3,9,9
9,11,4,10,26
12,6,3,8,20
6,5,6,9,9
25,6,15,8,18
7,7,6,9,12
7,9,6,8,14
5,5,5,8,8
5,5,3,7,15
18,11,4,10,27
7,6,5,9,14
10,9,4,9,21
10,7,3,8,19
7,8,7,8,11
11,7,3,8,17
11,11,3,9,20
10,14,4,7,17
12,11,4,9,23
5,5,4,7,15
9,11,7,7,14
24,13,4,8,17
5,14,4,8,13
10,9,6,9,16
6,5,4,8,13
6,5,4,9,10
7,7,6,9,9
10,12,3,7,16
23,9,4,7,16
6,5,4,8,12
9,9,5,9,21
9,8,6,7,16
6,6,4,9,9
6,6,6,8,18
7,7,7,9,13
10,11,4,8,20
20,10,4,9,24
11,9,4,10,26
7,7,6,8,15
10,12,4,9,22
13,10,4,8,20
18,11,6,9,13
7,10,3,7,19
8,9,6,8,15
13,10,3,9,22
10,9,3,7,18
24,11,4,7,17
11,10,4,10,25
19,5,3,9,10
18,9,3,8,20
5,10,4,8,15
7,6,4,8,17
8,9,7,7,11
8,11,4,7,19
6,8,5,9,12
6,5,10,8,9
14,9,3,7,17
10,7,5,9,12
11,11,4,8,21
6,8,5,8,17
5,6,4,9,10
10,13,4,9,22
6,6,5,8,19
9,7,8,9,13
10,11,7,8,18
5,5,4,9,11
11,8,3,8,18
25,10,3,7,15
9,8,7,7,15
8,10,6,9,22
5,7,4,7,14
7,6,5,8,15
25,9,3,9,18
9,8,6,8,15
5,13,4,8,14
15,10,4,9,25
5,5,3,8,9
8,8,6,8,12
7,6,4,8,14
10,9,3,8,16
6,10,4,7,12
5,5,9,8,9
6,6,50,9,13
14,9,4,10,28
11,8,6,8,14
7,6,5,7,18
9,10,18,9,16
11,11,4,8,20
7,8,6,8,15
20,6,8,9,12
12,12,4,9,25
5,5,5,8,8
7,7,5,8,14
11,7,4,9,23
7,11,7,9,11
10,9,7,9,18
10,11,4,9,22
13,8,3,8,23
15,13,4,9,12
5,5,8,7,8
7,6,6,9,13
11,10,4,7,18
7,6,4,8,14
6,6,5,8,18
6,8,6,8,18
7,9,6,9,13
10,9,3,7,18
10,11,6,8,19
6,7,8,9,14
6,6,5,8,15
8,12,8,7,11
7,11,4,10,27
25,5,3,8,9
6,6,13,9,13
10,12,5,8,19
6,6,7,7,19
11,10,3,8,22
15,11,4,10,21
5,6,3,8,11
12,13,4,10,27
7,10,4,7,18
8,6,4,8,16
9,11,4,10,25
8,10,7,9,16
7,6,7,8,15
10,11,4,9,21
7,8,4,10,27
7,6,4,9,14
15,6,3,7,16
14,6,6,9,15
7,8,7,8,13
10,11,7,8,17
9,11,3,7,18
5,5,3,9,10
10,9,5,8,17
8,7,7,9,14
7,11,7,8,14
7,6,4,8,16
9,9,6,9,19
7,6,6,9,14
10,8,7,8,15
23,10,4,8,18
5,5,6,7,16
10,12,4,9,23
7,8,7,8,14
28,6,7,7,17
8,9,5,8,18
9,8,5,8,17
7,12,16,8,16
12,8,3,8,19
10,10,4,9,24
5,5,4,9,8
9,8,6,8,14
6,6,4,9,13
11,11,4,8,19
5,5,24,9,9
7,8,6,8,15
9,8,10,8,14
9,14,4,7,17
9,8,5,9,17
8,9,4,10,27
9,9,6,9,16
27,6,4,8,13
11,9,3,9,23
7,11,4,7,18
7,7,5,8,11
6,6,6,8,18
13,8,3,8,21
11,13,4,9,24
10,12,5,9,20
5,6,4,8,14
10,9,6,8,19
11,8,6,8,16
7,6,6,9,13
5,5,3,8,8
7,6,6,9,14
7,8,7,8,15
7,9,6,9,14
6,6,11,8,18
5,5,4,7,14
7,10,4,10,27
11,10,4,7,17
7,13,6,9,10
11,12,6,9,21
5,8,3,8,15
11,9,4,8,21
6,6,5,8,18
29,9,4,9,21
7,7,6,9,14
13,7,7,9,13
7,7,8,8,17
8,7,3,8,20
25,6,6,8,18
24,6,4,8,18
10,12,3,9,24
9,8,8,8,15
8,8,6,8,15
8,8,7,8,11
9,8,4,8,18
6,11,5,9,14
9,10,5,9,22
10,10,7,8,19
10,12,5,9,21
29,10,5,8,17
10,10,5,9,21
9,9,5,9,16
7,7,6,8,17
10,11,4,9,23
27,5,3,8,8
5,5,4,7,13
20,9,6,8,17
10,18,3,7,18
10,10,4,8,16
9,8,7,8,15
9,8,3,8,17
10,11,4,9,19
8,8,6,8,16
11,10,4,9,23
7,9,17,9,12
7,7,6,8,16
25,9,4,9,22
7,11,6,9,14
6,11,4,8,20
9,8,5,8,16
11,8,4,10,27
10,8,7,9,16
12,20,3,8,20
6,6,10,7,18
6,7,5,8,18
5,5,4,8,9
11,7,3,8,14
23,9,4,8,16
7,7,7,9,14
6,6,4,8,17
6,6,3,9,10
27,9,9,8,13
10,12,5,9,19
10,9,3,7,17
8,8,6,9,12
5,5,5,8,8
10,13,4,9,21
5,6,3,8,10
11,9,3,9,25
17,5,3,7,15
9,10,6,8,16
7,11,7,8,14
11,8,5,9,19
7,7,6,8,14
16,5,4,8,13
16,10,4,7,18
10,10,4,9,24
6,6,6,9,12
7,9,6,7,15
6,6,4,9,10
11,11,4,9,24
20,9,6,9,16
9,12,7,8,15
7,7,5,9,12
5,5,3,7,7
10,10,3,7,18
7,12,6,9,15
11,11,4,9,24
9,8,6,8,15
5,5,7,8,8
8,8,10,8,16
8,7,4,8,18
7,11,7,8,14
7,8,7,7,11
7,6,5,8,16
9,9,3,9,24
5,6,5,7,16
7,7,7,8,16
28,8,5,9,22
22,11,4,10,26
11,12,6,8,15
7,8,3,9,12
11,11,3,9,18
29,6,15,7,18
12,9,4,7,18
14,10,4,7,18
5,5,19,9,9
16,6,10,9,13
10,10,7,8,17
7,10,4,10,27
9,8,9,8,16
15,7,3,8,18
5,5,4,8,9
19,5,3,8,10
7,6,5,8,16
10,9,9,9,18
17,11,4,9,22
13,9,3,9,25
7,6,3,8,12
6,6,3,9,10
8,11,4,10,27
6,11,4,7,19
14,6,5,8,17
14,9,4,8,21
6,6,6,9,11
13,8,4,10,26
9,13,8,8,14
8,10,3,7,18
8,7,7,8,12
7,7,11,8,16
6,6,6,8,19
7,6,3,8,13
14,6,3,9,21
6,8,3,9,24
27,6,7,7,18
9,6,6,8,18
12,9,6,9,15
9,9,7,8,11
6,7,6,9,12
15,9,5,9,13
6,6,9,9,14
10,9,4,9,19
10,10,8,7,16
9,12,4,7,13
11,11,4,9,21
11,10,4,10,27
7,8,6,9,14
9,10,7,8,15
6,14,7,9,13
9,8,21,8,16
11,14,3,8,22
8,8,5,8,11
17,7,3,8,19
6,6,8,9,10
9,10,6,8,16
15,10,6,8,18
9,9,7,8,16
10,11,3,7,18
9,11,5,8,16
9,8,10,8,15
7,10,3,10,27
9,8,15,8,14
6,5,4,8,13
9,8,5,9,21
7,7,5,9,13
7,6,4,8,12
12,9,3,9,17
7,10,11,7,14
5,5,7,8,8
9,9,5,9,20
22,7,5,8,16
7,9,4,8,14
10,10,4,10,24
10,10,11,8,14
10,16,6,8,19
5,4,8,6,7
21,5,3,8,11
7,9,4,8,21
7,6,4,8,14
5,5,3,9,10
7,6,10,9,13
9,12,4,8,19
11,11,4,7,12
6,5,8,8,8
7,14,7,8,17
8,8,7,8,16
6,6,6,9,12
17,6,3,8,11
27,6,4,9,12
9,9,4,8,15
11,9,4,10,27
10,11,4,9,18
7,6,6,8,15
11,10,4,9,23
7,9,8,7,11
9,9,3,9,24
5,5,3,8,10
11,11,3,7,19
8,8,7,8,15
7,13,7,9,14
7,6,5,9,14
9,8,8,8,14
7,5,8,8,9
5,6,4,9,11
5,5,3,8,10
7,6,6,8,15
7,7,6,9,12
27,10,3,7,18
7,7,6,9,13
5,4,7,6,6
9,8,7,8,12
5,5,6,7,17
9,8,11,8,15
21,5,50,8,8
5,6,3,8,15
7,9,5,9,14
35,8,10,9,15
12,8,4,9,25
7,9,4,9,13
6,8,3,8,20
9,8,7,8,15
5,6,4,9,11
6,7,6,8,14
7,6,8,8,18
5,5,9,9,9
7,9,4,9,12
7,11,3,10,28
11,10,3,7,18
14,6,4,8,16
7,7,7,8,15
17,7,9,8,15
13,9,12,8,15
13,14,5,9,23
5,5,4,9,10
5,6,3,9,8
7,12,6,9,14
7,6,7,9,12
10,10,3,8,19
6,6,17,9,10
7,11,7,8,14
7,8,7,8,14
6,7,6,9,10
6,10,4,8,19
7,7,6,9,11
6,6,5,8,15
12,13,4,9,23
4,4,5,6,7
23,10,4,10,25
7,7,7,9,13
9,11,6,8,16
7,7,6,8,14
9,8,6,9,17
12,11,4,10,25
11,11,4,9,24
10,16,4,10,27
9,10,7,8,16
7,7,7,8,17
7,8,6,9,13
7,7,7,9,10
26,6,3,8,11
6,5,4,8,14
5,5,5,7,16
26,6,4,8,18
7,11,7,8,15
6,6,7,9,13
14,6,5,8,18
7,7,6,9,11
7,6,7,8,15
5,5,49,9,9
11,11,7,8,17
5,5,4,9,10
29,5,3,8,12
11,11,7,8,16
7,6,4,8,16
7,7,6,8,12
9,7,6,9,12
9,12,8,8,14
11,10,4,9,24
9,10,7,8,16
5,5,3,9,10
15,10,4,9,23
5,5,3,8,9
10,8,4,7,15
10,11,5,8,18
5,5,3,8,13
9,11,7,8,15
6,5,4,9,10
10,9,7,8,15
6,5,4,8,8
7,8,5,8,16
6,7,6,9,13
13,6,20,8,37
5,5,3,7,13
15,5,3,9,12
7,7,6,8,16
7,7,10,9,12
8,10,4,10,28
7,8,6,8,14
10,10,6,7,16
7,9,4,10,27
8,5,3,8,12
7,6,5,9,14
6,7,6,8,12
7,8,8,8,16
12,11,4,9,24
7,6,6,7,13
9,9,4,10,19
6,9,7,8,15
10,11,4,9,19
13,10,4,9,21
10,9,6,9,17
13,9,4,9,24
6,6,6,9,11
13,10,8,8,16
6,6,4,8,18
5,4,4,6,7
5,5,8,8,9
7,8,4,10,27
7,10,7,9,13
7,11,3,10,28
7,6,6,9,12
11,10,4,9,24
6,8,5,9,12
6,9,3,9,12
6,8,6,9,15
7,10,4,10,25
6,9,3,8,22
6,7,27,9,12
37,10,4,9,17
10,9,3,8,20
14,8,3,8,20
7,7,6,8,16
9,6,4,9,12
6,7,6,8,16
12,11,5,8,18
10,10,4,10,25
10,11,3,8,21
9,6,6,9,13
9,8,20,8,11
6,8,6,9,12
5,4,6,6,7
9,8,4,10,27
11,8,3,8,22
6,5,4,8,12
6,6,7,9,10
6,6,5,9,9
9,9,3,7,18
6,5,4,8,14
10,11,6,8,16
6,8,3,8,21
10,8,7,7,17
11,9,4,10,26
10,11,5,8,17
7,8,6,9,12
11,11,3,9,23
28,11,4,9,24
16,10,3,10,20
6,7,9,8,17
11,14,4,9,24
10,10,7,9,17
9,13,4,8,17
6,6,10,7,18
16,12,4,10,26
10,11,5,8,19
7,6,5,8,18
9,9,6,9,19
7,6,4,8,14
9,15,7,7,16
5,5,3,8,8
5,5,5,8,16
8,7,18,8,14
21,13,6,9,20
12,12,3,9,24
25,6,50,7,18
6,6,3,8,16
5,5,8,8,9
6,7,5,8,16
12,9,6,7,18
7,7,9,9,12
9,10,4,9,25
6,7,4,9,12
11,7,3,8,22
7,6,4,8,15
8,8,6,8,16
12,10,3,9,26
6,5,3,8,8
6,6,4,9,10
28,9,7,9,20
6,6,5,8,19
7,10,7,7,10
7,6,5,8,15
7,7,6,9,12
7,6,3,8,14
7,7,6,8,16
6,5,5,8,17
6,8,4,8,19
18,8,9,8,11
12,9,11,9,20
5,5,3,8,10
5,6,7,9,10
6,9,6,7,17
5,5,4,8,8
10,11,4,9,24
6,6,6,9,12
10,9,4,9,21
9,11,4,9,25
12,9,4,8,20
12,10,4,9,24
6,11,6,9,10
22,11,3,10,26
20,13,3,9,13
7,7,10,8,17
6,6,8,8,17
6,14,8,8,15
6,14,6,9,15
6,6,4,9,9
6,6,4,9,9
5,5,3,8,11
8,10,6,9,12
11,12,4,9,21
12,9,5,8,16
10,10,4,8,19
6,6,3,9,13
7,7,7,8,16
6,5,22,8,9
12,9,4,9,22
6,7,4,9,11
9,9,5,9,17
10,9,7,9,16
11,11,4,9,23
8,10,8,8,9
7,7,8,9,12
9,11,6,8,16
11,10,4,9,17
10,10,9,8,16
5,6,3,8,11
6,6,8,9,10
18,8,3,10,27
6,6,5,9,10
11,8,4,8,20
6,6,4,9,10
5,7,3,8,13
7,9,7,9,12
29,5,4,7,15
15,9,5,9,21
8,11,5,9,11
14,8,3,8,21
8,8,7,8,15
6,9,5,9,12
6,6,3,9,13
13,9,5,8,16
10,11,12,9,20
8,11,4,7,16
11,11,4,9,23
6,6,3,9,10
6,7,4,8,23
8,8,8,7,12
11,7,4,8,21
11,10,4,9,22
5,5,34,9,9
8,7,6,8,14
10,10,8,7,16
7,6,6,8,16
7,7,5,9,14
6,8,6,9,12
9,8,8,8,13
10,9,5,9,16
6,6,4,9,9
14,5,3,8,12
10,10,4,7,16
7,9,4,10,26
7,8,7,9,12
7,11,10,9,15
14,8,6,9,20
5,6,5,9,9
6,6,5,9,11
11,10,4,9,22
11,11,4,9,24
9,11,4,10,26
10,10,4,9,25
15,12,4,9,22
15,6,5,8,18
11,11,4,8,20
11,11,4,9,23
9,10,4,10,28
6,6,6,9,11
8,10,4,7,17
7,10,4,8,16
6,6,4,9,11
9,9,4,7,16
11,8,4,10,26
28,8,3,7,19
6,6,7,9,15
7,13,7,9,12
6,6,7,9,15
8,9,20,7,12
6,7,6,9,14
6,11,3,8,22
10,10,4,9,21
7,7,4,8,16
5,5,3,8,16
11,10,12,10,22
26,7,3,8,22
7,6,4,8,14
5,7,3,8,12
6,7,3,9,9
5,5,6,7,7
7,14,3,8,20
9,9,8,8,17
16,5,3,9,10
5,5,3,8,9
5,6,3,8,15
9,6,5,9,12
5,5,4,7,7
9,10,3,7,18
9,9,7,8,16
8,8,9,8,14
9,7,7,8,14
7,6,5,8,15
10,9,5,9,20
7,7,7,8,15
5,7,3,9,11
5,5,10,9,9
9,8,19,8,16
19,6,7,9,13
7,12,9,8,16
22,13,5,9,12
5,7,3,8,11
7,6,6,9,13
7,6,5,9,13
6,5,4,8,12
7,6,7,9,15
10,11,5,9,20
10,10,3,7,16
11,11,4,7,18
7,8,3,9,12
5,5,3,8,11
7,15,8,8,18
7,8,7,8,14
12,10,7,9,18
13,11,5,10,24
6,6,4,9,10
6,8,6,9,13
7,8,9,8,13
9,14,4,10,25
5,4,5,6,7
9,8,10,8,14
7,6,4,8,14
9,9,4,10,28
9,10,5,10,26
11,10,3,8,35
9,8,8,8,15
7,6,12,8,16
11,12,4,10,27
9,8,7,8,14
11,10,4,8,20
10,11,4,9,25
7,7,6,8,14
8,8,5,9,10
10,9,9,9,18
7,7,8,8,17
9,10,3,8,22
11,13,4,10,27
21,11,4,10,22
7,13,3,9,13
10,9,7,9,19
9,10,8,8,16
22,11,3,10,25
27,5,3,8,11
7,7,8,8,16
9,9,8,8,17
9,8,6,8,14
7,6,6,9,12
10,9,3,7,18
5,4,7,6,7
8,9,7,8,16
16,5,3,8,13
9,10,6,7,16
5,5,3,7,8
28,5,5,7,17
6,6,6,9,10
7,5,7,8,8
6,6,5,9,10
5,5,3,7,8
7,6,3,8,14
5,5,4,7,14
13,9,5,9,22
6,5,15,9,9
6,8,4,9,12
6,6,9,7,19
7,8,6,8,13
9,13,5,7,17
10,10,4,10,27
7,12,5,9,14
5,9,3,8,11
7,8,8,7,11
9,12,6,8,16
9,10,4,10,25
8,10,5,8,16
5,5,8,8,9
9,9,5,8,16
8,8,8,8,11
28,7,8,8,13
9,9,7,8,16
12,10,4,10,28
12,9,4,10,19
9,13,5,8,14
10,12,4,9,22
12,11,4,10,22
7,11,5,8,13
12,9,7,8,17
10,11,4,9,25
7,10,3,8,18
11,10,6,8,16
6,6,9,9,11
5,6,3,8,13
5,5,5,7,6
7,10,6,9,13
6,6,7,9,14
7,6,7,8,17
10,9,6,8,15
14,9,4,10,26
8,8,8,8,46
7,12,6,9,14
9,9,4,9,20
5,6,3,8,11
10,11,4,10,25
7,8,7,8,12
5,5,8,9,10
7,8,7,7,15
5,4,6,6,7
11,12,4,9,25
11,10,7,9,18
10,9,13,9,17
10,7,6,8,15
27,9,7,9,18
15,12,6,9,20
10,9,8,7,16
15,12,4,8,19
12,11,3,9,23
12,8,6,8,12
7,7,6,9,13
11,10,4,9,24
7,8,7,8,17
7,7,7,9,10
8,13,7,8,15
11,8,8,8,14
9,7,11,8,18
6,8,3,8,21
10,16,4,10,23
5,6,3,9,10
7,6,5,8,13
12,10,4,9,18
7,11,7,8,13
